song_id,project_id,title,audio,video,release_date,feature,featured_by,producers,genre,duration,platform,youtube,verified_date,verified_by,confidence_level,notes
1,,Agenda,TRUE,FALSE,2026-02-01,,,"shatta wale,nawtyboi",shatta music,02:15:00,youtube,TRUE,2026-02-02,crys,Best,released after diss songs to stonebwoy
2,,Wake up,TRUE,FALSE,2026-02-01,,,,shatta music,02:20:00,youtube,TRUE,2026-02-02,crys,Best,released after diss songs to stonebwoy
3,,48HRS,TRUE,FALSE,2026-02-01,,,shatta wale,shatta music,03:28:00,youtube,TRUE,2026-02-02,crys,Best,
4,,Which Gad,TRUE,FALSE,2026-01-31,,,shatta wale,shatta music,02:50:00,youtube,TRUE,2026-02-02,crys,Best,stonebwoy diss
5,,Big lie that,TRUE,FALSE,2026-01-30,,,DJ Mac Riddim,,02:18:00,youtube,TRUE,2026-02-02,crys,Best,stonebwoy diss
6,2,Check Your Balance,TRUE,FALSE,2026-01-26,,,shatta wale,,02:23:00,youtube,TRUE,2026-02-02,crys,Best,
7,2,Word Is My Bond,TRUE,FALSE,2026-01-26,,,shatta wale,,02:02:00,youtube,TRUE,2026-02-02,crys,Best,
8,2,More Dan Dem,TRUE,FALSE,2026-01-26,,,shatta wale,,02:01:00,youtube,TRUE,2026-02-02,crys,Best,
9,2,1 Man 1000 Cases,TRUE,FALSE,2026-01-26,,,shatta wale,,02:17:00,youtube,TRUE,2026-02-02,crys,Best,
10,2,Bow Down,TRUE,FALSE,2026-01-26,,,shatta wale,,01:30:00,youtube,TRUE,2026-02-02,crys,Best,
11,2,Silence is not power,TRUE,FALSE,2026-02-03,,,shatta wale,shatta music,04:13:00,youtube,TRUE,2026-02-03,crys,Best,stonebwoy diss
12,2,Bigger Everyday,TRUE,FALSE,2026-01-26,,,shatta wale,,02:04:00,youtube,TRUE,2026-02-03,crys,Best,
13,2,Lambo Drama,TRUE,FALSE,2026-01-26,,,shatta wale,,02:15:00,youtube,TRUE,2026-02-03,crys,Best,
14,2,God Soldiers,TRUE,FALSE,2026-01-26,,,shatta wale,,02:33:00,youtube,TRUE,2026-02-03,crys,Best,
15,2,Forever Vibes,TRUE,FALSE,2026-01-26,,,shatta wale,,02:27:00,youtube,TRUE,2026-02-03,crys,Best,
16,2,Hold You Close,TRUE,FALSE,2026-01-26,,,shatta wale,,02:37:00,youtube,TRUE,2026-02-03,crys,Best,
17,2,Bad Boy Sweet,TRUE,FALSE,2026-01-26,,,shatta wale,,02:04:00,youtube,TRUE,2026-02-03,crys,Best,
18,2,Soft Life,TRUE,FALSE,2026-01-26,,,shatta wale,,02:03:00,youtube,TRUE,2026-02-03,crys,Best,
19,,Tell Ya Man,FALSE,TRUE,2026-01-24,,,shatta wale,,02:14:00,youtube,TRUE,2026-02-03,crys,Best,
20,1,Lonely Victory,TRUE,FALSE,2026-01-13,,,"shatta wale,nawtyboi",Dancehall,02:34:00,youtube,TRUE,2026-02-03,crys,Best,
21,,My Fav Youtubers,TRUE,FALSE,2026-02-03,,,"shatta wale,nawtyboi",shatta music,02:45:00,youtube,TRUE,2026-02-04,crys,Best,
22,,Settings,TRUE,FALSE,2026-02-03,,,"shatta wale,nawtyboi",shatta music,02:26:00,youtube,TRUE,2026-02-04,crys,Best,
23,1,Worldwide Whine,TRUE,FALSE,2026-01-13,,,shatta wale,Dancehall,02:22:00,youtube,TRUE,2026-02-04,crys,Best,
24,1,VIP Girl,TRUE,FALSE,2026-01-13,,,shatta wale,Dancehall,02:56:00,youtube,TRUE,2026-02-04,crys,Best,
25,1,Born Fi Par,TRUE,FALSE,2026-01-13,,,shatta wale,Dancehall,02:46:00,youtube,TRUE,2026-02-04,crys,Best,
26,1,Rise Anyway,TRUE,FALSE,2026-01-13,,,shatta wale,Dancehall,02:30:00,youtube,TRUE,2026-02-04,crys,Best,
27,1,Boss A Di Whole place,TRUE,FALSE,2026-01-13,,,shatta wale,Dancehall,02:25:00,youtube,TRUE,2026-02-04,crys,Best,
28,,2026,TRUE,FALSE,2025-12-31,,,shatta wale,,01:58:00,youtube,TRUE,2026-02-04,crys,Best,
